Sexo;Comunidades Autónomas;Sábados trabajados al mes;Periodo;Total
Ambos sexos;Total Nacional;Total;2024T2;18,441
Ambos sexos;Total Nacional;Total;2024T1;18,063,90
Ambos sexos;Total Nacional;Total;2023T4;18,133,70
Ambos sexos;Total Nacional;Total;2023T3;18,249,70
Ambos sexos;Total Nacional;Total;2023T2;17,998,80
Ambos sexos;Total Nacional;Total;2023T1;17,469,60
Ambos sexos;Total Nacional;Total;2022T4;17,494,20
Ambos sexos;Total Nacional;Total;2022T3;17,559
Ambos sexos;Total Nacional;Total;2022T2;17,406,60
Ambos sexos;Total Nacional;Total;2022T1;17,017,80
Ambos sexos;Total Nacional;Total;2021T4;17,038,10
Ambos sexos;Total Nacional;Total;2021T3;16,958,80
Ambos sexos;Total Nacional;Total;2021T2;16,527,50
Ambos sexos;Total Nacional;Total;2021T1;16,118,60
Ambos sexos;Total Nacional;Total;2020T4;16,241,50
Ambos sexos;Total Nacional;Total;2020T3;16,108
Ambos sexos;Total Nacional;Total;2020T2;15,526,80
Ambos sexos;Total Nacional;Uno al mes;2024T2;979,6
Ambos sexos;Total Nacional;Uno al mes;2024T1;951,7
Ambos sexos;Total Nacional;Uno al mes;2023T4;998,7
Ambos sexos;Total Nacional;Uno al mes;2023T3;1,000,40
Ambos sexos;Total Nacional;Uno al mes;2023T2;956,4
Ambos sexos;Total Nacional;Uno al mes;2023T1;898,6
Ambos sexos;Total Nacional;Uno al mes;2022T4;971
Ambos sexos;Total Nacional;Uno al mes;2022T3;957,4
Ambos sexos;Total Nacional;Uno al mes;2022T2;932,6
Ambos sexos;Total Nacional;Uno al mes;2022T1;856,1
Ambos sexos;Total Nacional;Uno al mes;2021T4;909,4
Ambos sexos;Total Nacional;Uno al mes;2021T3;962,5
Ambos sexos;Total Nacional;Uno al mes;2021T2;904
Ambos sexos;Total Nacional;Uno al mes;2021T1;934,5
Ambos sexos;Total Nacional;Uno al mes;2020T4;923,5
Ambos sexos;Total Nacional;Uno al mes;2020T3;929,2
Ambos sexos;Total Nacional;Uno al mes;2020T2;842,5
Ambos sexos;Total Nacional;Dos o más al mes;2024T2;4,460,90
Ambos sexos;Total Nacional;Dos o más al mes;2024T1;4,212,70
Ambos sexos;Total Nacional;Dos o más al mes;2023T4;4,348
Ambos sexos;Total Nacional;Dos o más al mes;2023T3;4,562,60
Ambos sexos;Total Nacional;Dos o más al mes;2023T2;4,465,60
Ambos sexos;Total Nacional;Dos o más al mes;2023T1;4,190,50
Ambos sexos;Total Nacional;Dos o más al mes;2022T4;4,252,80
Ambos sexos;Total Nacional;Dos o más al mes;2022T3;4,285,90
Ambos sexos;Total Nacional;Dos o más al mes;2022T2;4,339,70
Ambos sexos;Total Nacional;Dos o más al mes;2022T1;4,101
Ambos sexos;Total Nacional;Dos o más al mes;2021T4;4,117
Ambos sexos;Total Nacional;Dos o más al mes;2021T3;4,204,70
Ambos sexos;Total Nacional;Dos o más al mes;2021T2;3,972,80
Ambos sexos;Total Nacional;Dos o más al mes;2021T1;3,617,40
Ambos sexos;Total Nacional;Dos o más al mes;2020T4;3,894,10
Ambos sexos;Total Nacional;Dos o más al mes;2020T3;3,863,40
Ambos sexos;Total Nacional;Dos o más al mes;2020T2;2,981,40
Ambos sexos;Total Nacional;Ninguno;2024T2;12,666,30
Ambos sexos;Total Nacional;Ninguno;2024T1;12,541,50
Ambos sexos;Total Nacional;Ninguno;2023T4;12,440,50
Ambos sexos;Total Nacional;Ninguno;2023T3;12,287,60
Ambos sexos;Total Nacional;Ninguno;2023T2;12,174,40
Ambos sexos;Total Nacional;Ninguno;2023T1;12,045,10
Ambos sexos;Total Nacional;Ninguno;2022T4;11,903,90
Ambos sexos;Total Nacional;Ninguno;2022T3;11,913,90
Ambos sexos;Total Nacional;Ninguno;2022T2;11,770,40
Ambos sexos;Total Nacional;Ninguno;2022T1;11,727,50
Ambos sexos;Total Nacional;Ninguno;2021T4;11,643,60
Ambos sexos;Total Nacional;Ninguno;2021T3;11,433,60
Ambos sexos;Total Nacional;Ninguno;2021T2;11,333,40
Ambos sexos;Total Nacional;Ninguno;2021T1;11,229,30
Ambos sexos;Total Nacional;Ninguno;2020T4;11,006,70
Ambos sexos;Total Nacional;Ninguno;2020T3;10,897,70
Ambos sexos;Total Nacional;Ninguno;2020T2;11,152
Ambos sexos;Total Nacional;No sabe;2024T2;334,3
Ambos sexos;Total Nacional;No sabe;2024T1;358
Ambos sexos;Total Nacional;No sabe;2023T4;346,5
Ambos sexos;Total Nacional;No sabe;2023T3;399,2
Ambos sexos;Total Nacional;No sabe;2023T2;402,4
Ambos sexos;Total Nacional;No sabe;2023T1;335,4
Ambos sexos;Total Nacional;No sabe;2022T4;366,5
Ambos sexos;Total Nacional;No sabe;2022T3;401,8
Ambos sexos;Total Nacional;No sabe;2022T2;363,9
Ambos sexos;Total Nacional;No sabe;2022T1;333,3
Ambos sexos;Total Nacional;No sabe;2021T4;368
Ambos sexos;Total Nacional;No sabe;2021T3;357,9
Ambos sexos;Total Nacional;No sabe;2021T2;317,3
Ambos sexos;Total Nacional;No sabe;2021T1;337,4
Ambos sexos;Total Nacional;No sabe;2020T4;417,2
Ambos sexos;Total Nacional;No sabe;2020T3;417,7
Ambos sexos;Total Nacional;No sabe;2020T2;551,1
Ambos sexos;Andalucía;Total;2024T2;2,899
Ambos sexos;Andalucía;Total;2024T1;2,810,40
Ambos sexos;Andalucía;Total;2023T4;2,837,10
