Comunidades y Ciudades Autónomas;Grupo de edad;Periodo;Total
Total Nacional;De 20 a 24 años;2023;41,09
Total Nacional;De 20 a 24 años;2022;39,95
Total Nacional;De 20 a 24 años;2021;36,13
Total Nacional;De 25 a 29 años;2023;71,28
Total Nacional;De 25 a 29 años;2022;69,97
Total Nacional;De 25 a 29 años;2021;66,1
Total Nacional;De 30 a 34 años;2023;78,44
Total Nacional;De 30 a 34 años;2022;76,86
Total Nacional;De 30 a 34 años;2021;74,16
Total Nacional;De 35 a 39 años;2023;79,76
Total Nacional;De 35 a 39 años;2022;78,25
Total Nacional;De 35 a 39 años;2021;77,04
Total Nacional;De 40 a 44 años;2023;80,94
Total Nacional;De 40 a 44 años;2022;80,2
Total Nacional;De 40 a 44 años;2021;79,24
Total Nacional;De 45 a 49 años;2023;79,9
Total Nacional;De 45 a 49 años;2022;79,32
Total Nacional;De 45 a 49 años;2021;77,34
Total Nacional;De 50 a 54 años;2023;76,13
Total Nacional;De 50 a 54 años;2022;73,95
Total Nacional;De 50 a 54 años;2021;73,02
Total Nacional;De 55 a 64 años;2023;59,48
Total Nacional;De 55 a 64 años;2022;57,66
Total Nacional;De 55 a 64 años;2021;55,78
Andalucía;De 20 a 24 años;2023;33,28
Andalucía;De 20 a 24 años;2022;34,12
Andalucía;De 20 a 24 años;2021;29,86
Andalucía;De 25 a 29 años;2023;61,7
Andalucía;De 25 a 29 años;2022;60,67
Andalucía;De 25 a 29 años;2021;58,29
Andalucía;De 30 a 34 años;2023;74,13
Andalucía;De 30 a 34 años;2022;71,29
Andalucía;De 30 a 34 años;2021;68,35
Andalucía;De 35 a 39 años;2023;75,59
Andalucía;De 35 a 39 años;2022;72,3
Andalucía;De 35 a 39 años;2021;71,22
Andalucía;De 40 a 44 años;2023;75,43
Andalucía;De 40 a 44 años;2022;74,04
Andalucía;De 40 a 44 años;2021;71,13
Andalucía;De 45 a 49 años;2023;72,14
Andalucía;De 45 a 49 años;2022;70,57
Andalucía;De 45 a 49 años;2021;68,4
Andalucía;De 50 a 54 años;2023;67,25
Andalucía;De 50 a 54 años;2022;64,98
Andalucía;De 50 a 54 años;2021;62,91
Andalucía;De 55 a 64 años;2023;49,6
Andalucía;De 55 a 64 años;2022;47,34
Andalucía;De 55 a 64 años;2021;46,45
Aragón;De 20 a 24 años;2023;44,15
Aragón;De 20 a 24 años;2022;41,21
Aragón;De 20 a 24 años;2021;41,77
Aragón;De 25 a 29 años;2023;76,22
Aragón;De 25 a 29 años;2022;75,46
Aragón;De 25 a 29 años;2021;73,65
Aragón;De 30 a 34 años;2023;84,17
Aragón;De 30 a 34 años;2022;81,81
Aragón;De 30 a 34 años;2021;78,05
Aragón;De 35 a 39 años;2023;80,52
Aragón;De 35 a 39 años;2022;81,39
Aragón;De 35 a 39 años;2021;81,08
Aragón;De 40 a 44 años;2023;84,21
Aragón;De 40 a 44 años;2022;83,6
Aragón;De 40 a 44 años;2021;82,45
Aragón;De 45 a 49 años;2023;85,3
Aragón;De 45 a 49 años;2022;84,24
Aragón;De 45 a 49 años;2021;83,42
Aragón;De 50 a 54 años;2023;86,26
Aragón;De 50 a 54 años;2022;82,14
Aragón;De 50 a 54 años;2021;83,07
Aragón;De 55 a 64 años;2023;64,34
Aragón;De 55 a 64 años;2022;63,91
Aragón;De 55 a 64 años;2021;61,01
Asturias, Principado de;De 20 a 24 años;2023;35,2
Asturias, Principado de;De 20 a 24 años;2022;30,8
Asturias, Principado de;De 20 a 24 años;2021;30,08
Asturias, Principado de;De 25 a 29 años;2023;63,8
Asturias, Principado de;De 25 a 29 años;2022;59,68
Asturias, Principado de;De 25 a 29 años;2021;57,53
Asturias, Principado de;De 30 a 34 años;2023;75,73
Asturias, Principado de;De 30 a 34 años;2022;71,26
Asturias, Principado de;De 30 a 34 años;2021;69,49
Asturias, Principado de;De 35 a 39 años;2023;76,08
Asturias, Principado de;De 35 a 39 años;2022;77,67
Asturias, Principado de;De 35 a 39 años;2021;79,28
Asturias, Principado de;De 40 a 44 años;2023;78,6
Asturias, Principado de;De 40 a 44 años;2022;79,51
Asturias, Principado de;De 40 a 44 años;2021;79,66
Asturias, Principado de;De 45 a 49 años;2023;77,46
Asturias, Principado de;De 45 a 49 años;2022;73,05
Asturias, Principado de;De 45 a 49 años;2021;76,27
Asturias, Principado de;De 50 a 54 años;2023;71,7
Asturias, Principado de;De 50 a 54 años;2022;72,71
Asturias, Principado de;De 50 a 54 años;2021;73,44
Asturias, Principado de;De 55 a 64 años;2023;52,89
Asturias, Principado de;De 55 a 64 años;2022;51,29
Asturias, Principado de;De 55 a 64 años;2021;51,99
Balears, Illes;De 20 a 24 años;2023;47,59
Balears, Illes;De 20 a 24 años;2022;47,6
Balears, Illes;De 20 a 24 años;2021;34,81
Balears, Illes;De 25 a 29 años;2023;67,44
Balears, Illes;De 25 a 29 años;2022;69,85
Balears, Illes;De 25 a 29 años;2021;68,94
Balears, Illes;De 30 a 34 años;2023;78,8
Balears, Illes;De 30 a 34 años;2022;75,27
Balears, Illes;De 30 a 34 años;2021;67,16
Balears, Illes;De 35 a 39 años;2023;79,55
Balears, Illes;De 35 a 39 años;2022;79,49
Balears, Illes;De 35 a 39 años;2021;78,01
Balears, Illes;De 40 a 44 años;2023;79,18
Balears, Illes;De 40 a 44 años;2022;85,02
Balears, Illes;De 40 a 44 años;2021;77,53
Balears, Illes;De 45 a 49 años;2023;84,85
Balears, Illes;De 45 a 49 años;2022;83,05
Balears, Illes;De 45 a 49 años;2021;78,25
Balears, Illes;De 50 a 54 años;2023;79,29
